,sequence,sequence_tok
10,how are you taking care of yourself? https://t.co/OrL9u1P8YI #fitfluential,"['how', 'are', 'you', 'taking', 'care', 'of', 'yourself?', 'https://t.co/OrL9u1P8YI', '#fitfluential']"
11,MTG Deals 1x Rank-Up-Magic - The Seventh One - PRIO-EN058 - Secret Rare - Unlimi https://t.co/Y22wyLpgnN https://t.co/VwagxMNohB,"['MTG', 'Deals', '1x', 'Rank-Up-Magic', '-', 'The', 'Seventh', 'One', '-', 'PRIO-EN058', '-', 'Secret', 'Rare', '-', 'Unlimi', 'https://t.co/Y22wyLpgnN', 'https://t.co/VwagxMNohB']"
12,Just put my ass on the line for you and this is how you repay me.,"['Just', 'put', 'my', 'ass', 'on', 'the', 'line', 'for', 'you', 'and', 'this', 'is', 'how', 'you', 'repay', 'me.']"
13,https://t.co/z4sbWUugd8 What the Nation Will Be Talking About After Wednesday's GOP Debates https://t.co/gIHIVyHF7G #business #now,"['https://t.co/z4sbWUugd8', 'What', 'the', 'Nation', 'Will', 'Be', 'Talking', 'About', 'After', ""Wednesday's"", 'GOP', 'Debates', 'https://t.co/gIHIVyHF7G', '#business', '#now']"
14,will i even need sound effects for the diviners tonight,"['will', 'i', 'even', 'need', 'sound', 'effects', 'for', 'the', 'diviners', 'tonight']"
15,https://t.co/EROGWTFTYo It's a glow of satisfaction re The Glow https://t.co/7RdyMCVPKx,"['https://t.co/EROGWTFTYo', ""It's"", 'a', 'glow', 'of', 'satisfaction', 're', 'The', 'Glow', 'https://t.co/7RdyMCVPKx']"
16,@giannaaa28 lmao _���_��� dude I'm hella scared for next episode bc the ending to yesterday's,"['@giannaaa28', 'lmao', '_���_���', 'dude', ""I'm"", 'hella', 'scared', 'for', 'next', 'episode', 'bc', 'the', 'ending', 'to', ""yesterday's""]"
17,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P,"['@coolyazzy94', 'Ditto', '-', ""I'm"", 'still', 'learning', 'the', 'favourites', 'and', 'retweet', 'stuff', '-', 'least', 'it', 'sucks', 'less', 'than', 'Facebook', 'haha', ':P']"
18,@CaribBros @JstSaleem I do but I don't understand how to get to the server to get it,"['@CaribBros', '@JstSaleem', 'I', 'do', 'but', 'I', ""don't"", 'understand', 'how', 'to', 'get', 'to', 'the', 'server', 'to', 'get', 'it']"
19,"Me too, saw five lionesses drinking around the little pan one half block away, made a kill behind land R.   #SafariLive","['Me', 'too,', 'saw', 'five', 'lionesses', 'drinking', 'around', 'the', 'little', 'pan', 'one', 'half', 'block', 'away,', 'made', 'a', 'kill', 'behind', 'land', 'R.', '', '', '#SafariLive']"
20,@CraftYear2015 @isabelpascual thank you for the retweets,"['@CraftYear2015', '@isabelpascual', 'thank', 'you', 'for', 'the', 'retweets']"
21,All the girls went to sleep and the guys just sat in the floor and watched us_���_���,"['All', 'the', 'girls', 'went', 'to', 'sleep', 'and', 'the', 'guys', 'just', 'sat', 'in', 'the', 'floor', 'and', 'watched', 'us_���_���']"
22,@ChrisAOfficial I'm on the right side_�����_ُ_���xxx,"['@ChrisAOfficial', ""I'm"", 'on', 'the', 'right', 'side_�����_ُ_���xxx']"
23,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE","['YALL', 'LMFAOO', 'RIGHT', 'WHEN', 'THE', 'CHORUS', 'CAME', 'ON,', 'A', 'TEAR', 'ROLLED', 'DOWN', 'HIS', 'FACE', 'https://t.co/aYuQDPtvsE']"
24,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE,"['James', 'Bond', 'premier', 'night', 'at', 'the', '@Everymancinema', 'in', 'Oxted', 'with', '@SidiEdey.', ""Let's"", 'hope', 'it', 'lives', 'up', 'to', 'expectation!', '#SPECTRE']"
25,@SydnieJR except once the Hallmark movies start I won't get anything done!! _��__�_�_�_�,"['@SydnieJR', 'except', 'once', 'the', 'Hallmark', 'movies', 'start', 'I', ""won't"", 'get', 'anything', 'done!!', '_��__�_�_�_�']"
26,"How beautiful is the religion which teaches you to love for others what you love for yourself!
 #Islam #Muslim #muslims","['How', 'beautiful', 'is', 'the', 'religion', 'which', 'teaches', 'you', 'to', 'love', 'for', 'others', 'what', 'you', 'love', 'for', 'yourself!\n', '#Islam', '#Muslim', '#muslims']"
27,Fuck you ! NASA is awesome. https://t.co/wIUkltDTyO,"['Fuck', 'you', '!', 'NASA', 'is', 'awesome.', 'https://t.co/wIUkltDTyO']"
28,You leave the group chat for more than 2 mins and you miss made shit,"['You', 'leave', 'the', 'group', 'chat', 'for', 'more', 'than', '2', 'mins', 'and', 'you', 'miss', 'made', 'shit']"
29,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE,"['As', 'opposed', 'to', 'Pump', 'where', ""it's"", 'like', 'HI', 'HOPE', 'YOU', 'LIKE', 'DOING', 'JUMPS', 'WHERE', 'YOU', 'SPREAD', 'YOUR', 'FEET', 'ACROSS', 'THE', 'ENTIRE', 'STAGE']"
30,Reality Series ���Monica the Medium�۪ Gets Season 2 on ABC Family https://t.co/Q62PP17sJe https://t.co/GOHuoOHQky,"['Reality', 'Series', '���Monica', 'the', 'Medium�۪', 'Gets', 'Season', '2', 'on', 'ABC', 'Family', 'https://t.co/Q62PP17sJe', 'https://t.co/GOHuoOHQky']"
31,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E,"['All', 'the', '#magic', 'in', 'Hath', 'No', 'FURY', 'is', 'based', 'on', 'REAL', '#Magick!', 'https://t.co/jwpsVhAU1E']"
32,"Me the week of Brandon's birthday: there's no such thing as a birthday week u weirdo
Me November 1st: it's my birthday month, bow down to me","['Me', 'the', 'week', 'of', ""Brandon's"", 'birthday:', ""there's"", 'no', 'such', 'thing', 'as', 'a', 'birthday', 'week', 'u', 'weirdo\nMe', 'November', '1st:', ""it's"", 'my', 'birthday', 'month,', 'bow', 'down', 'to', 'me']"
33,And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD,"['And', 'got', 'more', 'yards', 'AND', 'points', 'than', 'the', 'Jets', 'gave', 'up', 'all', 'season.', 'https://t.co/gdfkaOxcDD']"
34,"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is��_ https://t.co/eXhmGLr869 https://t.co/6xjB8Kxjis","['Gala', 'Bingo', 'clubs', 'bought', 'for', '�241m:', 'The', ""UK's"", 'largest', 'High', 'Street', 'bingo', 'operator,', 'Gala,', 'is��_', 'https://t.co/eXhmGLr869', 'https://t.co/6xjB8Kxjis']"
35,Did Alot Up In The Past Ion Wont Back,"['Did', 'Alot', 'Up', 'In', 'The', 'Past', 'Ion', 'Wont', 'Back']"
36,Here's how @sesamestreet's Julia will combat the stigma associated with #autism: https://t.co/IdkJYk84Mk #ece,"[""Here's"", 'how', ""@sesamestreet's"", 'Julia', 'will', 'combat', 'the', 'stigma', 'associated', 'with', '#autism:', 'https://t.co/IdkJYk84Mk', '#ece']"
37,This boy was on the El wit his 3 daughters and they all was under 5,"['This', 'boy', 'was', 'on', 'the', 'El', 'wit', 'his', '3', 'daughters', 'and', 'they', 'all', 'was', 'under', '5']"
38,"@Toastburglar @wordwizard85 
The trick is making sure you keep your lungs inflated for cushioning.","['@Toastburglar', '@wordwizard85', '\nThe', 'trick', 'is', 'making', 'sure', 'you', 'keep', 'your', 'lungs', 'inflated', 'for', 'cushioning.']"
39,@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...,"['@TheRiddler109', '@CNN', 'I', 'mean', ""it's"", 'not', 'like', 'Mainstream', 'new', 'media', 'is', 'supposed', 'to', 'feed', 'you', 'the', 'fact', 'nowadays...']"
40,The Flash: New Look at Danielle Panabaker as Killer Frost ��� https://t.co/B1Icufq59H https://t.co/M5ju9fXQv4 #HotNews #geekinitiative,"['The', 'Flash:', 'New', 'Look', 'at', 'Danielle', 'Panabaker', 'as', 'Killer', 'Frost', '���', 'https://t.co/B1Icufq59H', 'https://t.co/M5ju9fXQv4', '#HotNews', '#geekinitiative']"
41,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H,"['How', 'many', 'followers', 'do', 'you', 'get', 'everyday?', 'I', 'got', '1', 'in', 'the', 'last', 'day.', 'Growing', 'daily', 'with', 'https://t.co/JzckR3ub8H']"
42,#dog walkers needed @FetchPetCareChi from the South Loop to Edgewater. Midday 11am-3pm  #Chicago #jobs https://t.co/z9HesUigwz,"['#dog', 'walkers', 'needed', '@FetchPetCareChi', 'from', 'the', 'South', 'Loop', 'to', 'Edgewater.', 'Midday', '11am-3pm', '', '#Chicago', '#jobs', 'https://t.co/z9HesUigwz']"
43,"@onedirection Artist of the Year #AMAs

HO FAME","['@onedirection', 'Artist', 'of', 'the', 'Year', '#AMAs\n\nHO', 'FAME']"
44,@kbonimtetezi mheshimiwa travellers along that stretch of the road (lubao) r hurting and nobody seems to be raising this issue!,"['@kbonimtetezi', 'mheshimiwa', 'travellers', 'along', 'that', 'stretch', 'of', 'the', 'road', '(lubao)', 'r', 'hurting', 'and', 'nobody', 'seems', 'to', 'be', 'raising', 'this', 'issue!']"
45,Greenville Thursday. Yall holla you need anything. Know I'm the plug,"['Greenville', 'Thursday.', 'Yall', 'holla', 'you', 'need', 'anything.', 'Know', ""I'm"", 'the', 'plug']"
46,@MarkHicks1204 I went to the wrong Nandos but I found you eventually #10chilliesequalsfreenandos,"['@MarkHicks1204', 'I', 'went', 'to', 'the', 'wrong', 'Nandos', 'but', 'I', 'found', 'you', 'eventually', '#10chilliesequalsfreenandos']"
47,@AndyRobsonTips Cardiff or drew with the over 1.5 match goals sounds good to me,"['@AndyRobsonTips', 'Cardiff', 'or', 'drew', 'with', 'the', 'over', '1.5', 'match', 'goals', 'sounds', 'good', 'to', 'me']"
48,"Those who break the rules are scum, but those who abandon their friends are worse than scum","['Those', 'who', 'break', 'the', 'rules', 'are', 'scum,', 'but', 'those', 'who', 'abandon', 'their', 'friends', 'are', 'worse', 'than', 'scum']"
49,Apple: The Great iPhone Unit Debate https://t.co/YOruxSrKCE,"['Apple:', 'The', 'Great', 'iPhone', 'Unit', 'Debate', 'https://t.co/YOruxSrKCE']"
50,"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is being taken over by��_ https://t.co/XprInke1m2","['Gala', 'Bingo', 'clubs', 'bought', 'for', '�241m:', 'The', ""UK's"", 'largest', 'High', 'Street', 'bingo', 'operator,', 'Gala,', 'is', 'being', 'taken', 'over', 'by��_', 'https://t.co/XprInke1m2']"
51,"VIDEO: James Bond Spectre world premiere: After months of build up Spectre, the latest��_ https://t.co/uV38Wlg5bE #UK","['VIDEO:', 'James', 'Bond', 'Spectre', 'world', 'premiere:', 'After', 'months', 'of', 'build', 'up', 'Spectre,', 'the', 'latest��_', 'https://t.co/uV38Wlg5bE', '#UK']"
52,#EDM  Amazon celebrates new vinyl store in unveiling the �۪13 Day Vinyl��_ https://t.co/f1gN9iKlDA #Dance #News #Rave https://t.co/4pUUtAejU0,"['#EDM', '', 'Amazon', 'celebrates', 'new', 'vinyl', 'store', 'in', 'unveiling', 'the', '�۪13', 'Day', 'Vinyl��_', 'https://t.co/f1gN9iKlDA', '#Dance', '#News', '#Rave', 'https://t.co/4pUUtAejU0']"
53,Best thing about having an audition on the west side is being able to eat lunch at Komodo,"['Best', 'thing', 'about', 'having', 'an', 'audition', 'on', 'the', 'west', 'side', 'is', 'being', 'able', 'to', 'eat', 'lunch', 'at', 'Komodo']"
54,Discipline is the bridge between goals and accomplishment. - Jim Rohn,"['Discipline', 'is', 'the', 'bridge', 'between', 'goals', 'and', 'accomplishment.', '-', 'Jim', 'Rohn']"
55,"In the last 20 minutes that Wednesday fan has tweeted about us 3 times, no, not obsessed, not even a little bit _���_���_���_���_���_���_���_���_���_���_���_���_���_���_���","['In', 'the', 'last', '20', 'minutes', 'that', 'Wednesday', 'fan', 'has', 'tweeted', 'about', 'us', '3', 'times,', 'no,', 'not', 'obsessed,', 'not', 'even', 'a', 'little', 'bit', '_���_���_���_���_���_���_���_���_���_���_���_���_���_���_���']"
56,"Once it is complete, it will lift off and attempt to connect with the alpha point of the rift we are observing. (1-2)","['Once', 'it', 'is', 'complete,', 'it', 'will', 'lift', 'off', 'and', 'attempt', 'to', 'connect', 'with', 'the', 'alpha', 'point', 'of', 'the', 'rift', 'we', 'are', 'observing.', '(1-2)']"
57,"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is being taken over by��_ https://t.co/WoQyHfIm61","['Gala', 'Bingo', 'clubs', 'bought', 'for', '�241m:', 'The', ""UK's"", 'largest', 'High', 'Street', 'bingo', 'operator,', 'Gala,', 'is', 'being', 'taken', 'over', 'by��_', 'https://t.co/WoQyHfIm61']"
58,Triggered Email: The Killer Conversion App https://t.co/obCkhxkOm7,"['Triggered', 'Email:', 'The', 'Killer', 'Conversion', 'App', 'https://t.co/obCkhxkOm7']"
59,"Gala Bingo clubs bought for �241m: The UK's largest High Street bingo operator, Gala, is being taken over by��_ https://t.co/hXowiGMmi4","['Gala', 'Bingo', 'clubs', 'bought', 'for', '�241m:', 'The', ""UK's"", 'largest', 'High', 'Street', 'bingo', 'operator,', 'Gala,', 'is', 'being', 'taken', 'over', 'by��_', 'https://t.co/hXowiGMmi4']"
60,Do you know who are awesome? My 4 new followers in the last week! Growing with https://t.co/iN3hLNli3g,"['Do', 'you', 'know', 'who', 'are', 'awesome?', 'My', '4', 'new', 'followers', 'in', 'the', 'last', 'week!', 'Growing', 'with', 'https://t.co/iN3hLNli3g']"
61,camerons side of the bed smells SO bad,"['camerons', 'side', 'of', 'the', 'bed', 'smells', 'SO', 'bad']"
62,@wishbonecon are u going to the 1.30 one ??,"['@wishbonecon', 'are', 'u', 'going', 'to', 'the', '1.30', 'one', '??']"
63,@Hakeem_NLT Boii make the wafflw link to the reference then the word count should clear up lol,"['@Hakeem_NLT', 'Boii', 'make', 'the', 'wafflw', 'link', 'to', 'the', 'reference', 'then', 'the', 'word', 'count', 'should', 'clear', 'up', 'lol']"
64,"https://t.co/nRN2mGLd2E
Am I the only one who loves the part with Merlin and Regina's face? :D #OUAT","['https://t.co/nRN2mGLd2E\nAm', 'I', 'the', 'only', 'one', 'who', 'loves', 'the', 'part', 'with', 'Merlin', 'and', ""Regina's"", 'face?', ':D', '#OUAT']"
65,"@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU","['@Harry_Styles', 'always', 'remember,', 'never', 'forget', ""you're"", 'the', 'best', 'and', 'the', 'greatest', 'in', 'the', 'world', 'just', 'being', 'you', 'always', 'you', 'till', 'the', 'end', 'of', 'time', 'YOU']"
66,The POLITICS of evidence + results in international development. https://t.co/T7N2c2TTBf - Looks great. h/t @duncan_ids @rosalindeyben +,"['The', 'POLITICS', 'of', 'evidence', '+', 'results', 'in', 'international', 'development.', 'https://t.co/T7N2c2TTBf', '-', 'Looks', 'great.', 'h/t', '@duncan_ids', '@rosalindeyben', '+']"
67,"Please God, let me get a house that has a fireplace in the bedroom!! I have such great ideas for such a room..","['Please', 'God,', 'let', 'me', 'get', 'a', 'house', 'that', 'has', 'a', 'fireplace', 'in', 'the', 'bedroom!!', 'I', 'have', 'such', 'great', 'ideas', 'for', 'such', 'a', 'room..']"
68,that's the 8% they have hidden.. UMPH. https://t.co/OnebBSAG93,"[""that's"", 'the', '8%', 'they', 'have', 'hidden..', 'UMPH.', 'https://t.co/OnebBSAG93']"
69,@WigingtonLinda that's nice for this time of the year. tomorrow they say it should be around 20,"['@WigingtonLinda', ""that's"", 'nice', 'for', 'this', 'time', 'of', 'the', 'year.', 'tomorrow', 'they', 'say', 'it', 'should', 'be', 'around', '20']"
70,"(Surgical enhancements are for a different part of the body, and, I was kidding...)","['(Surgical', 'enhancements', 'are', 'for', 'a', 'different', 'part', 'of', 'the', 'body,', 'and,', 'I', 'was', 'kidding...)']"
71,The CTAS Pro High colorway inspired by sageelsesser available now at both #MIAskateshop locations��_ https://t.co/yGz0K7nqso,"['The', 'CTAS', 'Pro', 'High', 'colorway', 'inspired', 'by', 'sageelsesser', 'available', 'now', 'at', 'both', '#MIAskateshop', 'locations��_', 'https://t.co/yGz0K7nqso']"
72,I swear if she touches me one more time. _��__��_ she pisses me off. It's stupid cause my friends fall for the trick as well _���,"['I', 'swear', 'if', 'she', 'touches', 'me', 'one', 'more', 'time.', '_��__��_', 'she', 'pisses', 'me', 'off.', ""It's"", 'stupid', 'cause', 'my', 'friends', 'fall', 'for', 'the', 'trick', 'as', 'well', '_���']"
73,"She is not beautiful m, and I'm talking beyond the superficial beauty.","['She', 'is', 'not', 'beautiful', 'm,', 'and', ""I'm"", 'talking', 'beyond', 'the', 'superficial', 'beauty.']"
74,The Wildcats pay a visit to Fain elementary school! https://t.co/Xjx8GNyRhJ,"['The', 'Wildcats', 'pay', 'a', 'visit', 'to', 'Fain', 'elementary', 'school!', 'https://t.co/Xjx8GNyRhJ']"
75,bad day in the office - but nice to catch up with @thedjbrisk so wish we had more time to catch up x,"['bad', 'day', 'in', 'the', 'office', '-', 'but', 'nice', 'to', 'catch', 'up', 'with', '@thedjbrisk', 'so', 'wish', 'we', 'had', 'more', 'time', 'to', 'catch', 'up', 'x']"
76,"New Study Says Bacon Causes Cancer, But the Internet Refuses to Believe It https://t.co/SNgYZFCG4b","['New', 'Study', 'Says', 'Bacon', 'Causes', 'Cancer,', 'But', 'the', 'Internet', 'Refuses', 'to', 'Believe', 'It', 'https://t.co/SNgYZFCG4b']"
77,"James Walter invented the bolt-action rifle, liquor, sexual intercourse, and football-- in that order.","['James', 'Walter', 'invented', 'the', 'bolt-action', 'rifle,', 'liquor,', 'sexual', 'intercourse,', 'and', 'football--', 'in', 'that', 'order.']"
78,@Lov3rzWorldwide Say He is the one. The eternal. He doesn't have kids nor did anyone have Him. There is nothing like The One.,"['@Lov3rzWorldwide', 'Say', 'He', 'is', 'the', 'one.', 'The', 'eternal.', 'He', ""doesn't"", 'have', 'kids', 'nor', 'did', 'anyone', 'have', 'Him.', 'There', 'is', 'nothing', 'like', 'The', 'One.']"
79,Now I Changed! I'm not the same Man I once Yesterday it's for the better watch &amp; take notes,"['Now', 'I', 'Changed!', ""I'm"", 'not', 'the', 'same', 'Man', 'I', 'once', 'Yesterday', ""it's"", 'for', 'the', 'better', 'watch', '&amp;', 'take', 'notes']"
80,Amazing: See Igbo Village In The United States Of��America https://t.co/Z8A95hAQpE https://t.co/qdQ6HnE735,"['Amazing:', 'See', 'Igbo', 'Village', 'In', 'The', 'United', 'States', 'Of��America', 'https://t.co/Z8A95hAQpE', 'https://t.co/qdQ6HnE735']"
81,"@R_M_Appleyard alarm wont work as you can't time the stops in Leeds. Too much traffic ect. A 20min bus ride can take 50 or 12 mins, ya know?","['@R_M_Appleyard', 'alarm', 'wont', 'work', 'as', 'you', ""can't"", 'time', 'the', 'stops', 'in', 'Leeds.', 'Too', 'much', 'traffic', 'ect.', 'A', '20min', 'bus', 'ride', 'can', 'take', '50', 'or', '12', 'mins,', 'ya', 'know?']"
82,"Join the The Creative Group team! See our latest #BusinessMgmt #job opening here: https://t.co/X2YVPuRDy4 #TheCreativeGroup #NEWYORK, NY","['Join', 'the', 'The', 'Creative', 'Group', 'team!', 'See', 'our', 'latest', '#BusinessMgmt', '#job', 'opening', 'here:', 'https://t.co/X2YVPuRDy4', '#TheCreativeGroup', '#NEWYORK,', 'NY']"
83,"#Akinator, the Genie App, just guessed that I was thinking of  Katniss Everdeen's Daughter #what? how?","['#Akinator,', 'the', 'Genie', 'App,', 'just', 'guessed', 'that', 'I', 'was', 'thinking', 'of', '', 'Katniss', ""Everdeen's"", 'Daughter', '#what?', 'how?']"
84,"'30 Teams in 30 Days' NBA Season Preview, #2: Cleveland Cavaliers + an Op-Ed About the Legacy of LeBron James https://t.co/dYTW2sr9Gp","[""'30"", 'Teams', 'in', '30', ""Days'"", 'NBA', 'Season', 'Preview,', '#2:', 'Cleveland', 'Cavaliers', '+', 'an', 'Op-Ed', 'About', 'the', 'Legacy', 'of', 'LeBron', 'James', 'https://t.co/dYTW2sr9Gp']"
85,"@TekifyUK I am trying to unbrick my Kindle fire, with a red screen. I followed your youtube video, and am using the unbrick tool.","['@TekifyUK', 'I', 'am', 'trying', 'to', 'unbrick', 'my', 'Kindle', 'fire,', 'with', 'a', 'red', 'screen.', 'I', 'followed', 'your', 'youtube', 'video,', 'and', 'am', 'using', 'the', 'unbrick', 'tool.']"
86,If you say someone like Wale or Meek or Wiz has gotten big in the past five years you're a moron. They were big in the mixtape game.,"['If', 'you', 'say', 'someone', 'like', 'Wale', 'or', 'Meek', 'or', 'Wiz', 'has', 'gotten', 'big', 'in', 'the', 'past', 'five', 'years', ""you're"", 'a', 'moron.', 'They', 'were', 'big', 'in', 'the', 'mixtape', 'game.']"
87,Move Of The Week Double Leg Stretch ��_ : https://t.co/kxkCEFUxQB ... https://t.co/n7PtOHGaPQ,"['Move', 'Of', 'The', 'Week', 'Double', 'Leg', 'Stretch', '��_', ':', 'https://t.co/kxkCEFUxQB', '...', 'https://t.co/n7PtOHGaPQ']"
88,Goodword @ The Honey Hive Gallery https://t.co/htzxiHKODA,"['Goodword', '@', 'The', 'Honey', 'Hive', 'Gallery', 'https://t.co/htzxiHKODA']"
89,THE FIRST FANCAM OF THAT AMAZING INTRO FUCK https://t.co/VAcnnIXgIA,"['THE', 'FIRST', 'FANCAM', 'OF', 'THAT', 'AMAZING', 'INTRO', 'FUCK', 'https://t.co/VAcnnIXgIA']"
90,"@RepComstock You are supporting the Father of the Sequester for Speaker. Cut vet pensions, military, medicare. Shame on you","['@RepComstock', 'You', 'are', 'supporting', 'the', 'Father', 'of', 'the', 'Sequester', 'for', 'Speaker.', 'Cut', 'vet', 'pensions,', 'military,', 'medicare.', 'Shame', 'on', 'you']"
91,#biz Import Veteran: The 6 tricks every importer must know in order to avoid getting ripped off. https://t.co/g2HVXx9Jf0,"['#biz', 'Import', 'Veteran:', 'The', '6', 'tricks', 'every', 'importer', 'must', 'know', 'in', 'order', 'to', 'avoid', 'getting', 'ripped', 'off.', 'https://t.co/g2HVXx9Jf0']"
92,"The FA have lost it, they're fining clubs left right and centre. Do your job properly or don't do it at all. @FA","['The', 'FA', 'have', 'lost', 'it,', ""they're"", 'fining', 'clubs', 'left', 'right', 'and', 'centre.', 'Do', 'your', 'job', 'properly', 'or', ""don't"", 'do', 'it', 'at', 'all.', '@FA']"
93,No Water To Frisco Subdivision: A contractor working in the area cut a water line and crews are now��_ https://t.co/mvsXieKa21 #dallas #news,"['No', 'Water', 'To', 'Frisco', 'Subdivision:', 'A', 'contractor', 'working', 'in', 'the', 'area', 'cut', 'a', 'water', 'line', 'and', 'crews', 'are', 'now��_', 'https://t.co/mvsXieKa21', '#dallas', '#news']"
94,Reimagining the #webdesign process by @InVisionApp - https://t.co/Vmb0OZU67e https://t.co/hFlWR8tfOl,"['Reimagining', 'the', '#webdesign', 'process', 'by', '@InVisionApp', '-', 'https://t.co/Vmb0OZU67e', 'https://t.co/hFlWR8tfOl']"
95,The accumulation of rake marks:SNIP #Blackfish Morgan 'looks like she came close to losing her left eye' #FreeMorgan https://t.co/NmaiGtIocI,"['The', 'accumulation', 'of', 'rake', 'marks:SNIP', '#Blackfish', 'Morgan', ""'looks"", 'like', 'she', 'came', 'close', 'to', 'losing', 'her', 'left', ""eye'"", '#FreeMorgan', 'https://t.co/NmaiGtIocI']"
96,@deptulahasrage Clemson only need to stack the line against FSU then they may not even score,"['@deptulahasrage', 'Clemson', 'only', 'need', 'to', 'stack', 'the', 'line', 'against', 'FSU', 'then', 'they', 'may', 'not', 'even', 'score']"
97,I can see now that there's no way I'm going to resist this Shattered Empire business. The Noto cover alone! https://t.co/nLmIC5xDmp,"['I', 'can', 'see', 'now', 'that', ""there's"", 'no', 'way', ""I'm"", 'going', 'to', 'resist', 'this', 'Shattered', 'Empire', 'business.', 'The', 'Noto', 'cover', 'alone!', 'https://t.co/nLmIC5xDmp']"
98,"If you have some time, would be great if you could fill out the attached survey. Could provide some real insights. https://t.co/Z3w902w0wh","['If', 'you', 'have', 'some', 'time,', 'would', 'be', 'great', 'if', 'you', 'could', 'fill', 'out', 'the', 'attached', 'survey.', 'Could', 'provide', 'some', 'real', 'insights.', 'https://t.co/Z3w902w0wh']"
99,@cringe_channel chris chan has the fame,"['@cringe_channel', 'chris', 'chan', 'has', 'the', 'fame']"
100,The accuracy though lol  https://t.co/frFforEeLC,"['The', 'accuracy', 'though', 'lol', '', 'https://t.co/frFforEeLC']"
